PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Effective_Price,Spend_USD,Period,NAICS6,EF_kg_per_USD,EF_missing_initial,EF_imputed,Emissions_tCO2e,Method,Data_Quality
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,37.34,56346.060000000005,2022,453210,0.163,False,False,9.18440778,Spend-based,Secondary
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,92.26,83956.6,2022,333999,0.26,False,False,21.828716000000004,Spend-based,Secondary
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,95.52,128378.87999999999,2022,322211,0.49,False,False,62.905651199999994,Spend-based,Secondary
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,60.53,71425.4,2022,325199,1.51,False,False,107.85235399999999,Spend-based,Secondary
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,63.57,72787.65,2022,333999,0.26,False,False,18.924789,Spend-based,Secondary
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,47.82,84832.68000000001,2022,333999,0.26,False,False,22.056496800000005,Spend-based,Secondary
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,32.78,35861.32,2022,333999,0.26,False,False,9.3239432,Spend-based,Secondary
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,39.89,67334.32,2023,325199,1.51,False,False,101.67482320000002,Spend-based,Secondary
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,73.68,368400.00000000006,2022,325199,1.51,False,False,556.2840000000001,Spend-based,Secondary
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,86.58,432900.0,2023,325199,1.51,False,False,653.679,Spend-based,Secondary
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,,Yes,16.88,84400.0,2022,333999,0.26,False,False,21.944,Spend-based,Secondary
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,,Yes,15.12,75600.0,2022,322211,0.49,False,False,37.044,Spend-based,Secondary
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,55.49,65089.770000000004,2022,333999,0.26,False,False,16.923340200000002,Spend-based,Secondary
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,,Yes,50.61,46611.81,2022,325199,1.51,False,False,70.3838331,Spend-based,Secondary
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,87.37,151761.69,2023,325199,1.51,False,False,229.1601519,Spend-based,Secondary
